Instrument,Symbol
AEX,AE
ASX,AP
AUD,A6
BITCOIN,BA
BITCOIN_large,BT
BOBL,HR
BRENT_W,CB
BTP,II
BUND,GG
BUXL,GX
CAC,MX
CAD,D6
CARBON,CK
CHEESE,BJ
CHF,S6
COCOA_LDN,CA
COCOA_NY,CC
COFFEE,KC
COFFEE_LDN,RM
COPPER,HG
CORN,ZC
COTTON,CT
CRUDE_W,CL
CRUDE_W_mini,QM
DAX,DY
DOW,YM
DX,DX
EDOLLAR,GE
EUR,E6
EURGBP,RP
EURIBOR,IM
EUROSTX,FX
FTSE,X
GASOIL_LDN,LF
GASOILINE,RB
GAS_US,NG
GAS_US_mini,QG
GBP,B6
GILT,G
GOLD,GC
GOLD_micro,GR
HANG,HS
HEATOIL,HO
JGB,JX
JPY,J6
LEANHOG,HE
LIVECOW,LE
LUMBER,LB
MILK,DL
MILKDRY,DF
MILKWET,DK
MXP,M6
NASDAQ,NQ
NASDAQ_micro,NM
NIKKEI,NY
NZD,N6
OAT,FN
OATIES,ZO
OJ,OJ
PALLAD,PA
PLAT,PL
REDWHEAT,KE
RICE,ZR
RUSSELL,QR
SHATZ,HF
SILVER,SI
SMI,SZ
SOYBEAN,ZS
SOYMEAL,ZM
SOYOIL,ZL
SP400,EW
SP500,ES
SP500_micro,ET
STERLING3,L
SUGAR,SB
SUGAR_LDN,SW
US10,ZN
US2,ZT
US20,ZB
US30,UD
US5,ZF
USTB,ZB
V2X,DV
VIX,VI
WHEAT,ZW
WHEAT_LDN,LW
